detector eta pt pt_res pt_resE p_res p_resE
MM_6_3x2_1D 0 10 2.12537 0.0176872 2.12545 0.0176855
MM_6_3x2_1D 0 1 0.83469 0.00720323 0.839432 0.00736232
MM_6_3x2_1D 0 20 3.98923 0.0341513 3.98923 0.0341513
MM_6_3x2_1D 0 2 0.905125 0.00739915 0.905168 0.0073971
MM_6_3x2_1D 0 30 5.94147 0.0559702 5.94147 0.0559702
MM_6_3x2_1D 0 3 1.02545 0.0081659 1.02526 0.00815414
MM_6_3x2_1D 0 40 7.84833 0.0783648 7.84833 0.0783648
MM_6_3x2_1D 0 4 1.16681 0.00927239 1.16697 0.00927395
MM_6_3x2_1D 0 50 9.70766 0.106404 9.70766 0.106404
MM_6_3x2_1D 0 5 1.27692 0.00999493 1.28369 0.0103411
MM_6_3x2_1D 0 6 1.47203 0.0118305 1.47254 0.0118326
MM_6_3x2_1D 0 7 1.61611 0.0131178 1.61574 0.0131131
MM_6_3x2_1D 0 8 1.80216 0.014221 1.80235 0.0142186
MM_6_3x2_1D 0 9 1.95202 0.016016 1.95203 0.016016
MM_6_3x2_1D 1 10 31.9958 1.62525 30.0107 1.2948
MM_6_3x2_1D 1 1 1.12759 0.010854 1.11897 0.0106173
MM_6_3x2_1D 1 20 44.887 1.61762 46.3949 1.66364
MM_6_3x2_1D 1 2 1.42972 0.0191875 1.42797 0.0188114
MM_6_3x2_1D 1 30 58.931 2.12593 57.1054 1.96773
MM_6_3x2_1D 1 3 7.07302 0.199856 6.63837 0.188917
MM_6_3x2_1D 1 40 66.155 2.53795 66.812 2.57069
MM_6_3x2_1D 1 4 9.79223 0.246058 10.421 0.253568
MM_6_3x2_1D 1 50 77.6686 3.32883 76.4283 3.27427
MM_6_3x2_1D 1 5 12.7556 0.34559 12.5054 0.35595
MM_6_3x2_1D 1 6 15.6314 0.455133 15.9872 0.465188
MM_6_3x2_1D 1 7 20.6245 0.660597 20.7072 0.629825
MM_6_3x2_1D 1 8 24.0454 0.91943 21.6447 0.739938
MM_6_3x2_1D 1 9 22.3532 0.815312 22.338 0.722642
MM_6_3x2_1D 3 10 61.5801 4.62499 61.9642 4.64868
MM_6_3x2_1D 3 1 1.49499 0.0262285 1.39808 0.0232884
MM_6_3x2_1D 3 20 80.4662 6.79557 82.9417 7.26528
MM_6_3x2_1D 3 2 1.68917 0.0422616 1.71118 0.0428594
MM_6_3x2_1D 3 30 96.1563 9.30387 99.6649 10.3233
MM_6_3x2_1D 3 3 14.5198 0.924864 13.87 0.875641
MM_6_3x2_1D 3 40 118.147 15.6809 123.599 17.6791
MM_6_3x2_1D 3 4 26.0818 1.93183 23.9178 1.74813
MM_6_3x2_1D 3 50 128.752 19.307 144.754 27.1425
MM_6_3x2_1D 3 5 31.3516 2.22464 34.1414 2.5296
MM_6_3x2_1D 3 6 41.9513 3.2031 44.7203 3.58487
MM_6_3x2_1D 3 7 52.7471 3.98755 51.1808 3.75738
MM_6_3x2_1D 3 8 57.275 4.38223 58.2643 4.60521
MM_6_3x2_1D 3 9 59.412 4.5564 59.767 4.6482
MM_6_3x2_2D 0 10 2.0498 0.01662 2.04972 0.0166197
MM_6_3x2_2D 0 1 0.616744 0.00527882 0.617886 0.00534186
MM_6_3x2_2D 0 20 3.90453 0.0331362 3.90443 0.0331369
MM_6_3x2_2D 0 2 0.735402 0.00596755 0.735418 0.00596634
MM_6_3x2_2D 0 30 5.88969 0.0559387 5.88969 0.0559387
MM_6_3x2_2D 0 3 0.85263 0.0066372 0.852548 0.00663824
MM_6_3x2_2D 0 40 7.90421 0.0812334 7.90421 0.0812334
MM_6_3x2_2D 0 4 1.01923 0.0078485 1.0193 0.00784879
MM_6_3x2_2D 0 50 9.69076 0.102545 9.69076 0.102545
MM_6_3x2_2D 0 5 1.17925 0.00889445 1.17924 0.0088948
MM_6_3x2_2D 0 6 1.33856 0.0106183 1.33842 0.010611
MM_6_3x2_2D 0 7 1.51807 0.011744 1.53043 0.0118746
MM_6_3x2_2D 0 8 1.69265 0.0132489 1.69255 0.0132496
MM_6_3x2_2D 0 9 1.89674 0.0154661 1.89673 0.0154659
MM_6_3x2_2D 1 10 2.07867 0.0166079 2.08304 0.0167265
MM_6_3x2_2D 1 1 0.680735 0.00580479 0.675539 0.00570625
MM_6_3x2_2D 1 20 4.00817 0.0333047 4.05809 0.0343235
MM_6_3x2_2D 1 2 0.791954 0.00654684 0.791323 0.00657821
MM_6_3x2_2D 1 30 5.94701 0.0562663 5.87599 0.0555993
MM_6_3x2_2D 1 3 0.923073 0.00726171 0.926009 0.00742653
MM_6_3x2_2D 1 40 7.73066 0.0802018 7.68882 0.0800349
MM_6_3x2_2D 1 4 1.06833 0.00877999 1.05803 0.00850329
MM_6_3x2_2D 1 50 9.72674 0.104991 9.72305 0.1055
MM_6_3x2_2D 1 5 1.2087 0.00914008 1.21767 0.00947471
MM_6_3x2_2D 1 6 1.39875 0.0110959 1.39822 0.0111208
MM_6_3x2_2D 1 7 1.53394 0.0118388 1.53248 0.011795
MM_6_3x2_2D 1 8 1.74108 0.013886 1.74765 0.0140186
MM_6_3x2_2D 1 9 1.90751 0.0156031 1.90788 0.0156657
MM_6_3x2_2D 3 10 58.6622 3.17088 60.6387 3.48788
MM_6_3x2_2D 3 1 0.988676 0.0165208 0.994448 0.0173106
MM_6_3x2_2D 3 20 59.687 2.94541 61.167 3.09539
MM_6_3x2_2D 3 2 1.10242 0.0174032 24.9736 3.58307
MM_6_3x2_2D 3 30 7.35875 0.129491 7.33518 0.134847
MM_6_3x2_2D 3 3 1.23561 0.0176252 1.24309 0.0181091
MM_6_3x2_2D 3 40 10.886 0.236974 10.8876 0.238399
MM_6_3x2_2D 3 4 1.43401 0.0217405 1.45288 0.0221897
MM_6_3x2_2D 3 50 15.6252 0.500869 15.7616 0.522088
MM_6_3x2_2D 3 5 45.4162 2.96316 44.7727 2.98234
MM_6_3x2_2D 3 6 49.2533 3.1556 47.7012 2.95203
MM_6_3x2_2D 3 7 52.4184 3.2051 50.2438 2.95325
MM_6_3x2_2D 3 8 54.3768 3.04376 55.1523 3.20028
MM_6_3x2_2D 3 9 57.2276 3.26034 57.2217 3.29319
MM_6_eq_1D 0 10 2.27044 0.0191597 2.27063 0.0191629
MM_6_eq_1D 0 1 0.826604 0.00698463 0.826778 0.00698268
MM_6_eq_1D 0 20 4.15045 0.036985 4.15032 0.036986
MM_6_eq_1D 0 2 0.916609 0.00747673 0.916724 0.00752108
MM_6_eq_1D 0 30 6.10481 0.0569933 6.10481 0.0569933
MM_6_eq_1D 0 3 1.02498 0.00811338 1.02506 0.00810966
MM_6_eq_1D 0 40 8.19411 0.0867235 8.19414 0.0867154
MM_6_eq_1D 0 4 1.16144 0.00957786 1.16158 0.00960243
MM_6_eq_1D 0 50 9.98778 0.107946 9.98778 0.107946
MM_6_eq_1D 0 5 1.34235 0.0108537 1.34246 0.0108549
MM_6_eq_1D 0 6 1.50687 0.0120802 1.50692 0.0120823
MM_6_eq_1D 0 7 1.68443 0.0128812 1.68443 0.0128815
MM_6_eq_1D 0 8 1.86604 0.0154443 1.86601 0.0154442
MM_6_eq_1D 0 9 2.05151 0.0161854 2.05153 0.0161862
MM_6_eq_1D 1 10 5.59477 0.16633 5.12613 0.144705
MM_6_eq_1D 1 1 1.12691 0.0114564 1.1194 0.0110766
MM_6_eq_1D 1 20 13.2042 0.491898 13.7406 0.594192
MM_6_eq_1D 1 2 1.26645 0.0175791 1.24637 0.0166881
MM_6_eq_1D 1 30 30.6477 1.84727 28.2828 1.67306
MM_6_eq_1D 1 3 1.75352 0.03024 1.79809 0.0325738
MM_6_eq_1D 1 40 43.0082 2.35261 43.6926 2.35928
MM_6_eq_1D 1 4 2.32447 0.0436047 2.36658 0.0453935
MM_6_eq_1D 1 50 54.1192 2.9214 53.7578 2.76333
MM_6_eq_1D 1 5 2.82578 0.0597529 2.92238 0.0667429
MM_6_eq_1D 1 6 3.28108 0.0773632 3.20021 0.0703192
MM_6_eq_1D 1 7 3.58331 0.0809622 3.561 0.0834693
MM_6_eq_1D 1 8 4.57869 0.107277 4.38232 0.10962
MM_6_eq_1D 1 9 4.8346 0.123099 4.50225 0.116385
MM_6_eq_1D 3 10 35.3135 8.20848 35.4989 7.01748
MM_6_eq_1D 3 1 1.28848 0.0238045 1.29003 0.0229522
MM_6_eq_1D 3 20 71.1197 7.16674 74.4676 8.13751
MM_6_eq_1D 3 2 51.5298 7.51759 50.9369 7.1678
MM_6_eq_1D 3 30 88.2735 10.7433 89.4434 11.2003
