detector eta pt phi_res phi_resE theta_res theta_resE
MM_6_3x2_1D 0 1 0.00116669 8.28417e-06 0.00101568 7.21304e-06
MM_6_3x2_1D 0 2 0.000780135 5.53301e-06 0.000991169 7.0301e-06
MM_6_3x2_1D 0 3 0.000805056 5.70689e-06 0.000763398 5.41131e-06
MM_6_3x2_1D 0 4 0.000781913 5.54089e-06 0.000938903 6.65303e-06
MM_6_3x2_1D 0 5 0.000630434 4.46813e-06 0.000702971 4.98198e-06
MM_6_3x2_1D 0 6 0.000550551 3.89981e-06 0.000573073 4.05914e-06
MM_6_3x2_1D 0 7 0.000694788 4.92052e-06 0.000619439 4.38712e-06
MM_6_3x2_1D 0 8 0.000532145 3.76906e-06 0.000346873 2.45682e-06
MM_6_3x2_1D 0 9 0.000525077 3.71844e-06 0.000316652 2.24243e-06
MM_6_3x2_1D 0 10 0.000432474 3.06496e-06 0.000313788 2.22382e-06
MM_6_3x2_1D 0 20 0.000389236 2.75742e-06 0.000228662 1.61989e-06
MM_6_3x2_1D 0 30 0.000330264 2.33824e-06 0.000137703 9.74925e-07
MM_6_3x2_1D 0 40 0.000348189 2.4654e-06 0.000115003 8.14296e-07
MM_6_3x2_1D 0 50 0.000326939 2.31424e-06 7.46167e-05 5.28175e-07
MM_6_3x2_1D 1 1 0.0023591 1.69095e-05 0.00312496 2.23944e-05
MM_6_3x2_1D 1 2 0.00393188 2.82949e-05 0.00417698 3.00572e-05
MM_6_3x2_1D 1 3 0.00498136 3.60382e-05 0.00490454 3.54676e-05
MM_6_3x2_1D 1 4 0.00518224 3.76098e-05 0.00501286 3.63613e-05
MM_6_3x2_1D 1 5 0.00523933 3.80763e-05 0.0050103 3.64003e-05
MM_6_3x2_1D 1 6 0.00534076 3.88688e-05 0.00503283 3.66181e-05
MM_6_3x2_1D 1 7 0.00539656 3.92562e-05 0.00504884 3.67249e-05
MM_6_3x2_1D 1 8 0.00533543 3.87522e-05 0.00500467 3.6346e-05
MM_6_3x2_1D 1 9 0.00530575 3.85509e-05 0.00500008 3.63299e-05
MM_6_3x2_1D 1 10 0.00535828 3.89346e-05 0.00504068 3.66268e-05
MM_6_3x2_1D 1 20 0.00531394 3.86901e-05 0.00504928 3.67631e-05
MM_6_3x2_1D 1 30 0.00540737 3.93766e-05 0.0050846 3.70223e-05
MM_6_3x2_1D 1 40 0.00533187 3.88104e-05 0.00505936 3.68268e-05
MM_6_3x2_1D 1 50 0.005426 3.9506e-05 0.00504696 3.67443e-05
MM_6_3x2_1D 3 1 0.002339 2.30782e-05 0.0028569 2.818e-05
MM_6_3x2_1D 3 2 0.00373831 3.9905e-05 0.00391829 4.18167e-05
MM_6_3x2_1D 3 3 0.00501592 5.61851e-05 0.00475317 5.32687e-05
MM_6_3x2_1D 3 4 0.00526813 5.97264e-05 0.0048741 5.52521e-05
MM_6_3x2_1D 3 5 0.00516976 5.86791e-05 0.00492238 5.58496e-05
MM_6_3x2_1D 3 6 0.00518402 6.00202e-05 0.00496262 5.74414e-05
MM_6_3x2_1D 3 7 0.00535027 6.11709e-05 0.00503227 5.75277e-05
MM_6_3x2_1D 3 8 0.00527059 6.13856e-05 0.00499513 5.81773e-05
MM_6_3x2_1D 3 9 0.00515749 6.00439e-05 0.00508056 5.91483e-05
MM_6_3x2_1D 3 10 0.00528438 6.20705e-05 0.00506137 5.94428e-05
MM_6_3x2_1D 3 20 0.00541783 6.21386e-05 0.00501008 5.7462e-05
MM_6_3x2_1D 3 30 0.00526281 6.04561e-05 0.0049642 5.70184e-05
MM_6_3x2_1D 3 40 0.00530512 5.9839e-05 0.00492872 5.55721e-05
MM_6_3x2_1D 3 50 0.00520288 5.91618e-05 0.00491833 5.5919e-05
MM_6_3x2_2D 0 1 0.00097315 6.92497e-06 0.00101681 7.2353e-06
MM_6_3x2_2D 0 2 0.000812503 5.7649e-06 0.00087462 6.20438e-06
MM_6_3x2_2D 0 3 0.000840414 5.95395e-06 0.000804963 5.70165e-06
MM_6_3x2_2D 0 4 0.000709745 5.02822e-06 0.000647095 4.5846e-06
MM_6_3x2_2D 0 5 0.000572849 4.05858e-06 0.000386174 2.73587e-06
MM_6_3x2_2D 0 6 0.000731356 5.18028e-06 0.000738308 5.229e-06
MM_6_3x2_2D 0 7 0.000760072 5.38855e-06 0.000614475 4.35612e-06
MM_6_3x2_2D 0 8 0.000535487 3.7933e-06 0.000380523 2.69556e-06
MM_6_3x2_2D 0 9 0.000433646 3.07064e-06 0.000376249 2.66408e-06
MM_6_3x2_2D 0 10 0.000415562 2.94288e-06 0.000357262 2.53002e-06
MM_6_3x2_2D 0 20 0.000413645 2.93005e-06 0.00024118 1.70839e-06
MM_6_3x2_2D 0 30 0.000336117 2.38279e-06 0.000114629 8.12623e-07
MM_6_3x2_2D 0 40 0.000322304 2.28189e-06 0.000109783 7.77215e-07
MM_6_3x2_2D 0 50 0.000337359 2.3886e-06 7.68246e-05 5.43939e-07
MM_6_3x2_2D 1 1 0.00116297 8.26777e-06 0.000973155 6.91556e-06
MM_6_3x2_2D 1 2 0.000886928 6.29455e-06 0.000985844 6.99409e-06
MM_6_3x2_2D 1 3 0.000902519 6.39972e-06 0.000851369 6.03702e-06
MM_6_3x2_2D 1 4 0.000702459 4.97685e-06 0.000574301 4.06866e-06
MM_6_3x2_2D 1 5 0.00079848 5.65999e-06 0.000607955 4.30925e-06
MM_6_3x2_2D 1 6 0.000807623 5.7248e-06 0.00071917 5.0978e-06
MM_6_3x2_2D 1 7 0.000624902 4.42626e-06 0.000545255 3.8623e-06
MM_6_3x2_2D 1 8 0.000470521 3.33611e-06 0.000478654 3.39343e-06
MM_6_3x2_2D 1 9 0.000540203 3.82556e-06 0.000277766 1.96706e-06
MM_6_3x2_2D 1 10 0.000518418 3.6722e-06 0.00040194 2.84713e-06
MM_6_3x2_2D 1 20 0.000371213 2.63053e-06 0.000188683 1.33707e-06
MM_6_3x2_2D 1 30 0.000339905 2.40747e-06 0.000113882 8.06557e-07
MM_6_3x2_2D 1 40 0.000356909 2.52841e-06 8.84472e-05 6.26577e-07
MM_6_3x2_2D 1 50 0.000326554 2.31232e-06 6.54389e-05 4.63349e-07
MM_6_3x2_2D 3 1 0.00377467 3.09025e-05 0.000924322 7.5622e-06
MM_6_3x2_2D 3 2 0.00387566 3.16827e-05 0.00101176 8.26261e-06
MM_6_3x2_2D 3 3 0.00405285 3.31156e-05 0.000688363 5.62009e-06
MM_6_3x2_2D 3 4 0.00359298 2.94447e-05 0.000568953 4.65605e-06
MM_6_3x2_2D 3 5 0.00393504 3.22371e-05 0.00046137 3.77716e-06
MM_6_3x2_2D 3 6 0.00374498 3.04138e-05 0.000502687 4.0784e-06
MM_6_3x2_2D 3 7 0.00382517 3.14003e-05 0.00049312 4.04278e-06
MM_6_3x2_2D 3 8 0.0038186 3.13527e-05 0.000331332 2.71785e-06
MM_6_3x2_2D 3 9 0.00378167 3.09557e-05 0.00016148 1.32113e-06
MM_6_3x2_2D 3 10 0.00374863 3.05931e-05 0.000308603 2.51504e-06
MM_6_3x2_2D 3 20 0.00381336 3.13732e-05 0.000216059 1.77587e-06
MM_6_3x2_2D 3 30 0.00380278 3.09979e-05 9.63228e-05 7.8454e-07
MM_6_3x2_2D 3 40 0.00383528 3.12941e-05 8.03547e-05 6.55264e-07
MM_6_3x2_2D 3 50 0.0036785 3.02004e-05 4.6812e-05 3.83963e-07
MM_6_eq_1D 0 1 0.0011187 7.94424e-06 0.00101368 7.19884e-06
MM_6_eq_1D 0 2 0.000846379 6.00465e-06 0.000746539 5.29687e-06
MM_6_eq_1D 0 3 0.000806117 5.717e-06 0.000759822 5.38949e-06
MM_6_eq_1D 0 4 0.000772407 5.47325e-06 0.000677038 4.79771e-06
MM_6_eq_1D 0 5 0.000632228 4.48152e-06 0.000580186 4.11262e-06
MM_6_eq_1D 0 6 0.000584231 4.14005e-06 0.000377734 2.67688e-06
MM_6_eq_1D 0 7 0.000483061 3.42123e-06 0.000456907 3.236e-06
MM_6_eq_1D 0 8 0.00053482 3.78838e-06 0.000495207 3.50761e-06
MM_6_eq_1D 0 9 0.000509494 3.60917e-06 0.000426443 3.02085e-06
MM_6_eq_1D 0 10 0.000464517 3.29204e-06 0.000374734 2.65549e-06
MM_6_eq_1D 0 20 0.000373882 2.64706e-06 0.000201205 1.42444e-06
MM_6_eq_1D 0 30 0.000353248 2.50197e-06 9.80206e-05 6.94257e-07
MM_6_eq_1D 0 40 0.000326728 2.31425e-06 9.47127e-05 6.70861e-07
MM_6_eq_1D 0 50 0.000341291 2.41704e-06 7.63186e-05 5.40465e-07
MM_6_eq_1D 1 1 0.00153311 1.15694e-05 0.00295656 2.23113e-05
MM_6_eq_1D 1 2 0.00143802 1.33863e-05 0.00296911 2.76439e-05
MM_6_eq_1D 1 3 0.00159231 1.53604e-05 0.00368977 3.55972e-05
MM_6_eq_1D 1 4 0.0017249 1.66087e-05 0.00387372 3.72887e-05
MM_6_eq_1D 1 5 0.00167983 1.61612e-05 0.00386768 3.72064e-05
MM_6_eq_1D 1 6 0.00167625 1.62368e-05 0.00384302 3.72215e-05
MM_6_eq_1D 1 7 0.00160277 1.5525e-05 0.00378212 3.66282e-05
MM_6_eq_1D 1 8 0.00167995 1.63248e-05 0.00376422 3.65751e-05
MM_6_eq_1D 1 9 0.00153222 1.51802e-05 0.00370816 3.67235e-05
MM_6_eq_1D 1 10 0.00158327 1.57807e-05 0.00370208 3.68919e-05
MM_6_eq_1D 1 20 0.00149339 1.52561e-05 0.00353985 3.61624e-05
MM_6_eq_1D 1 30 0.00147547 1.50479e-05 0.00348433 3.55359e-05
MM_6_eq_1D 1 40 0.0014522 1.48618e-05 0.00349085 3.57253e-05
MM_6_eq_1D 1 50 0.00151252 1.54953e-05 0.00355666 3.64369e-05
MM_6_eq_1D 3 1 0.00197435 2.00424e-05 0.00254857 2.58768e-05
MM_6_eq_1D 3 2 0.00201884 2.60936e-05 0.00251954 3.25597e-05
MM_6_eq_1D 3 3 0.00193646 2.85453e-05 0.00333384 4.91441e-05
MM_6_eq_1D 3 4 0.00174127 2.6511e-05 0.00353308 5.37665e-05
MM_6_eq_1D 3 5 0.00169688 2.59619e-05 0.00347418 5.31542e-05
MM_6_eq_1D 3 6 0.00169554 2.63644e-05 0.0036211 5.62918e-05
MM_6_eq_1D 3 7 0.00167208 2.70891e-05 0.00362865 5.87871e-05
MM_6_eq_1D 3 8 0.00168971 2.7615e-05 0.00363744 5.94468e-05
MM_6_eq_1D 3 9 0.0016119 2.68724e-05 0.00358267 5.97277e-05
