detector eta pt phi_res phi_resE theta_res theta_resE pt_res pt_resE p_res p_resE
MM_6_3x2_1D 0.9316316147538235 1 0.00497806 5.46545e-05 0.00441153 3.83942e-05 0.026732 0.00035182 0.0253414 0.00035971
MM_6_3x2_1D 0.9316316147538235 2 0.00607424 6.19564e-05 0.000716559 6.80357e-06 0.0644527 0.000661567 0.0636448 0.000635235
MM_6_3x2_1D 0.9316316147538235 3 0.00660455 6.03573e-05 0.000466088 4.02775e-06 0.102891 0.000969514 0.102963 0.000977439
MM_6_3x2_1D 0.9316316147538235 4 0.00666172 6.19374e-05 0.000358036 3.13652e-06 0.132936 0.00140633 0.132486 0.00137839
MM_6_3x2_1D 0.9316316147538235 5 0.00669057 6.1865e-05 0.00028455 2.56796e-06 0.164008 0.00187654 0.162416 0.00188203
MM_6_3x2_1D 0.9316316147538235 6 0.00671121 6.00479e-05 0.000238017 2.20412e-06 0.192693 0.00227996 0.190761 0.00220787
MM_6_3x2_1D 0.9316316147538235 7 0.00666579 6.16779e-05 0.000207804 1.80433e-06 0.209412 0.00275133 0.205252 0.00269201
MM_6_3x2_1D 0.9316316147538235 8 0.00663123 6.18052e-05 0.000181747 1.66164e-06 0.233488 0.00328937 0.235639 0.00342422
MM_6_3x2_1D 0.9316316147538235 9 0.0066915 6.08047e-05 0.00016002 1.41259e-06 0.247195 0.00447708 0.252472 0.0039832
MM_6_3x2_1D 0.9316316147538235 10 0.00649262 5.88997e-05 0.00014342 1.24272e-06 0.28309 0.00520508 0.278156 0.00515022
MM_6_3x2_1D 0.9316316147538235 20 0.00668932 6.03219e-05 7.77624e-05 6.98638e-07 0.369509 0.00896219 0.382182 0.00959348
MM_6_3x2_1D 0.9316316147538235 30 0.00670349 6.09403e-05 5.69497e-05 5.07467e-07 0.439484 0.017097 0.468468 0.017327
MM_6_3x2_1D 0.9316316147538235 40 0.00665985 6.135e-05 4.55482e-05 4.34188e-07 0.460641 0.0140092 0.462997 0.0158164
MM_6_3x2_1D 0.9316316147538235 50 0.00659911 5.96779e-05 0.00010314 0.00434873 0.420426 0.0148866 0.412332 0.0133292
MM_6_3x2_1D 0.4316947267462241 1 0.00243906 2.33226e-05 0.00304211 2.8636e-05 0.0116192 0.000117756 0.0113353 0.000114934
MM_6_3x2_1D 0.4316947267462241 2 0.00191757 3.16361e-05 0.00193609 1.23374e-05 0.0177438 0.00029873 0.0177087 0.000295994
MM_6_3x2_1D 0.4316947267462241 3 0.00586759 6.07132e-05 0.000581598 5.63239e-06 0.0929996 0.000958469 0.0931635 0.000956488
MM_6_3x2_1D 0.4316947267462241 4 0.00624785 5.96006e-05 0.000413803 3.75196e-06 0.127436 0.00133114 0.125938 0.0013081
MM_6_3x2_1D 0.4316947267462241 5 0.00644098 5.94159e-05 0.000322878 2.78209e-06 0.161318 0.00179474 0.16199 0.00178079
MM_6_3x2_1D 0.4316947267462241 6 0.00630769 5.7238e-05 0.000272554 2.42386e-06 0.178841 0.00217845 0.183824 0.00228215
MM_6_3x2_1D 0.4316947267462241 7 0.00642342 5.76533e-05 0.000238182 2.16492e-06 0.198664 0.00258694 0.198577 0.00260634
MM_6_3x2_1D 0.4316947267462241 8 0.0065105 6.07042e-05 0.000207301 1.8635e-06 0.228006 0.00328945 0.22846 0.00334381
MM_6_3x2_1D 0.4316947267462241 9 0.00636628 6.18511e-05 0.000183996 1.66049e-06 0.243403 0.00353146 0.236077 0.00331584
MM_6_3x2_1D 0.4316947267462241 10 0.00647704 5.86864e-05 0.000166719 1.48391e-06 0.266657 0.00439286 0.255236 0.0038897
MM_6_3x2_1D 0.4316947267462241 20 0.00628546 5.83976e-05 8.39598e-05 7.4363e-07 0.366449 0.00777295 0.362134 0.00743318
MM_6_3x2_1D 0.4316947267462241 30 0.00662665 5.98064e-05 6.09727e-05 5.48243e-07 0.43897 0.0104939 0.432636 0.0106343
MM_6_3x2_1D 0.4316947267462241 40 0.00647685 6.12367e-05 4.90107e-05 4.39415e-07 0.462483 0.0131469 0.470456 0.0122343
MM_6_3x2_1D 0.4316947267462241 50 0.00631259 6.02191e-05 4.2521e-05 3.55117e-07 0.484484 0.0161678 0.503458 0.0175883
MM_6_3x2_1D 0.017454178683585186 1 0.00176331 1.46841e-05 0.0025062 2.10685e-05 0.00865573 7.05813e-05 0.00864711 7.04042e-05
MM_6_3x2_1D 0.017454178683585186 2 0.00101313 7.85107e-06 0.00122677 1.03047e-05 0.00930152 7.4687e-05 0.00929804 7.46268e-05
MM_6_3x2_1D 0.017454178683585186 3 0.000764525 5.95327e-06 0.000795973 6.62306e-06 0.0105462 8.44522e-05 0.0105477 8.44667e-05
MM_6_3x2_1D 0.017454178683585186 4 0.000667953 5.12886e-06 0.00056205 4.70485e-06 0.0119681 9.76762e-05 0.0119722 9.77583e-05
MM_6_3x2_1D 0.017454178683585186 5 0.000613856 4.70263e-06 0.000442343 3.89469e-06 0.013605 0.000104815 0.0136056 0.000104771
MM_6_3x2_1D 0.017454178683585186 6 0.000584654 4.51892e-06 0.000359335 3.09006e-06 0.0151077 0.000118753 0.0151078 0.000118721
MM_6_3x2_1D 0.017454178683585186 7 0.000561099 4.15896e-06 0.000304052 2.61826e-06 0.016986 0.000127621 0.0169874 0.000127791
MM_6_3x2_1D 0.017454178683585186 8 0.000540273 3.99634e-06 0.00025619 2.18548e-06 0.018576 0.000141027 0.0185769 0.000141052
MM_6_3x2_1D 0.017454178683585186 9 0.000534562 3.9961e-06 0.000229873 1.95683e-06 0.0202784 0.000149702 0.0202854 0.000149729
MM_6_3x2_1D 0.017454178683585186 10 0.000520801 3.76242e-06 0.000201119 1.69051e-06 0.0222123 0.000170676 0.0222274 0.000170828
MM_6_3x2_1D 0.017454178683585186 20 0.000488653 3.61219e-06 9.80261e-05 8.33835e-07 0.0413298 0.000311499 0.0413302 0.000311552
MM_6_3x2_1D 0.017454178683585186 30 0.000485847 3.80024e-06 6.76314e-05 5.71818e-07 0.059727 0.000486189 0.0597237 0.000486512
MM_6_3x2_1D 0.017454178683585186 40 0.000474074 3.64867e-06 5.19235e-05 4.25837e-07 0.0768268 0.000654513 0.0768129 0.000654455
MM_6_3x2_1D 0.017454178683585186 50 0.000465437 3.58799e-06 4.42274e-05 3.70693e-07 0.0942015 0.00083188 0.0941799 0.000831481
MM_6_3x2_2D 0.9316316147538235 1 0.00170454 1.37662e-05 0.00166426 1.34424e-05 0.00817633 6.87106e-05 0.00794698 6.69478e-05
MM_6_3x2_2D 0.9316316147538235 2 0.000955709 7.46337e-06 0.000814587 6.6526e-06 0.00902754 7.05909e-05 0.00897928 7.11363e-05
MM_6_3x2_2D 0.9316316147538235 3 0.000753917 6.14792e-06 0.00052808 4.4076e-06 0.0105326 8.55693e-05 0.0105208 8.4954e-05
MM_6_3x2_2D 0.9316316147538235 4 0.000652914 5.02387e-06 0.000387859 3.26796e-06 0.0120196 9.97291e-05 0.0120004 0.000100203
MM_6_3x2_2D 0.9316316147538235 5 0.000586861 4.52119e-06 0.000294269 2.51004e-06 0.0134011 0.000104643 0.0134056 0.00010535
MM_6_3x2_2D 0.9316316147538235 6 0.000549424 4.29975e-06 0.000238047 2.03881e-06 0.0148206 0.000119172 0.0147866 0.000119156
MM_6_3x2_2D 0.9316316147538235 7 0.000528571 4.08165e-06 0.000201292 1.68462e-06 0.0163789 0.000125603 0.016318 0.000126478
MM_6_3x2_2D 0.9316316147538235 8 0.000519967 4.04805e-06 0.000166457 1.40496e-06 0.0183291 0.000142612 0.0182717 0.000142573
MM_6_3x2_2D 0.9316316147538235 9 0.000507425 3.96454e-06 0.000147171 1.22508e-06 0.0200325 0.000154619 0.0200154 0.000154591
MM_6_3x2_2D 0.9316316147538235 10 0.000491423 3.80218e-06 0.000131074 1.11878e-06 0.0217051 0.000172038 0.0216997 0.000171468
MM_6_3x2_2D 0.9316316147538235 20 0.000468946 3.62601e-06 6.15851e-05 5.16185e-07 0.0404472 0.000325296 0.0404914 0.000325831
MM_6_3x2_2D 0.9316316147538235 30 0.000457576 3.49759e-06 4.20603e-05 3.31512e-07 0.0587204 0.000464864 0.0587005 0.000463843
MM_6_3x2_2D 0.9316316147538235 40 0.000455117 3.48119e-06 3.38211e-05 2.74065e-07 0.076589 0.000631819 0.0765823 0.000632711
MM_6_3x2_2D 0.9316316147538235 50 0.000458981 3.63865e-06 2.9663e-05 2.88353e-07 0.0946414 0.000834353 0.0947239 0.000836249
MM_6_3x2_2D 0.4316947267462241 1 0.00145709 1.18208e-05 0.00187052 1.61706e-05 0.00674035 5.78127e-05 0.00667472 5.75906e-05
MM_6_3x2_2D 0.4316947267462241 2 0.000844546 6.60526e-06 0.000886286 7.30291e-06 0.00793051 6.78829e-05 0.00792151 6.7732e-05
MM_6_3x2_2D 0.4316947267462241 3 0.000675493 5.24532e-06 0.00054843 4.67545e-06 0.00932087 7.36085e-05 0.00930162 7.32508e-05
MM_6_3x2_2D 0.4316947267462241 4 0.000597784 4.77733e-06 0.000386761 3.31482e-06 0.0107323 8.73459e-05 0.0107197 8.69624e-05
MM_6_3x2_2D 0.4316947267462241 5 0.000548616 4.1145e-06 0.000302883 2.52791e-06 0.0123368 9.81912e-05 0.0123393 9.86468e-05
MM_6_3x2_2D 0.4316947267462241 6 0.000519311 4.0805e-06 0.000245565 2.04385e-06 0.0138669 0.000106672 0.0138793 0.000107368
MM_6_3x2_2D 0.4316947267462241 7 0.000510495 3.91362e-06 0.000201649 1.73143e-06 0.0157578 0.000122792 0.0157751 0.000123178
MM_6_3x2_2D 0.4316947267462241 8 0.000491202 3.66263e-06 0.000170095 1.42219e-06 0.017411 0.000134622 0.017432 0.000135327
MM_6_3x2_2D 0.4316947267462241 9 0.000488539 3.70059e-06 0.000153065 1.34564e-06 0.0194657 0.000149842 0.0194429 0.000149333
MM_6_3x2_2D 0.4316947267462241 10 0.000482244 3.72738e-06 0.000132901 1.1604e-06 0.0210745 0.000168007 0.0210674 0.000167386
MM_6_3x2_2D 0.4316947267462241 20 0.000462394 3.52429e-06 6.61091e-05 5.61554e-07 0.0399919 0.000311144 0.0400305 0.000312407
MM_6_3x2_2D 0.4316947267462241 30 0.000458511 3.56522e-06 4.55455e-05 3.7443e-07 0.0588236 0.000469983 0.0590968 0.000477201
MM_6_3x2_2D 0.4316947267462241 40 0.000454189 3.38543e-06 3.67741e-05 2.84399e-07 0.0776527 0.000643173 0.0776265 0.000643266
MM_6_3x2_2D 0.4316947267462241 50 0.000447434 3.32192e-06 3.25624e-05 2.73665e-07 0.0946382 0.000835643 0.0946379 0.000836912
MM_6_3x2_2D 0.017454178683585186 1 0.00134051 1.06354e-05 0.0019146 1.6212e-05 0.00634178 5.32546e-05 0.00634255 5.31035e-05
MM_6_3x2_2D 0.017454178683585186 2 0.000810637 6.18688e-06 0.000889717 7.63823e-06 0.00763319 5.88553e-05 0.00762625 5.84689e-05
MM_6_3x2_2D 0.017454178683585186 3 0.0006622 5.12199e-06 0.000562958 4.7636e-06 0.00905511 7.07528e-05 0.00905802 7.08085e-05
MM_6_3x2_2D 0.017454178683585186 4 0.00058947 4.56271e-06 0.000404622 3.44913e-06 0.0105485 8.45779e-05 0.0105486 8.45156e-05
MM_6_3x2_2D 0.017454178683585186 5 0.000546889 4.1721e-06 0.00030864 2.67165e-06 0.0121656 9.41054e-05 0.0121681 9.41735e-05
MM_6_3x2_2D 0.017454178683585186 6 0.000516922 4.08092e-06 0.000240305 2.00821e-06 0.0136554 0.000109423 0.0136556 0.000109404
MM_6_3x2_2D 0.017454178683585186 7 0.000511273 3.77359e-06 0.00020383 1.75299e-06 0.0158072 0.000121006 0.0158083 0.000120983
MM_6_3x2_2D 0.017454178683585186 8 0.000497648 3.87467e-06 0.00017461 1.47297e-06 0.0174566 0.000132461 0.0174564 0.000132467
MM_6_3x2_2D 0.017454178683585186 9 0.000478085 3.67498e-06 0.000153133 1.32067e-06 0.0187823 0.000146129 0.0187808 0.000146087
MM_6_3x2_2D 0.017454178683585186 10 0.000481691 3.66419e-06 0.000139308 1.20607e-06 0.021169 0.000164041 0.0211688 0.000164036
MM_6_3x2_2D 0.017454178683585186 20 0.000455912 3.44171e-06 6.8605e-05 5.99661e-07 0.0392744 0.000302989 0.0392751 0.000302985
MM_6_3x2_2D 0.017454178683585186 30 0.000455666 3.40548e-06 4.70911e-05 3.91975e-07 0.0585285 0.000454178 0.0585298 0.000454147
MM_6_3x2_2D 0.017454178683585186 40 0.000448061 3.40065e-06 3.84027e-05 2.95916e-07 0.0763399 0.000632477 0.0763407 0.00063253
MM_6_3x2_2D 0.017454178683585186 50 0.000448224 3.44103e-06 3.29942e-05 2.73424e-07 0.0960421 0.000850339 0.0960434 0.000850367
MM_6_eq_1D 0.9316316147538235 1 0.00346607 3.78653e-05 0.00486863 5.3528e-05 0.0155901 0.000164452 0.0143854 0.00015552
MM_6_eq_1D 0.9316316147538235 2 0.0183871 0.00326909 0.0114778 0.00312565 0.0238093 0.00203697 0.0253192 0.00201628
MM_6_eq_1D 0.9316316147538235 3 0.0932971 0.0958836 0.0282737 0.0208986 1.60414 1.9484 1.47648 2.04819
MM_6_eq_1D 0.9316316147538235 4 0.0800099 0.0679522 0.0343721 0.055332 1.96534 1.70978 2.83534 2.04195
MM_6_eq_1D 0.9316316147538235 5 0.0928794 0.0855095 0.0252588 0.0379172 2.539 2.06043 2.46624 1.5523
MM_6_eq_1D 0.9316316147538235 6 0.100132 0.0940163 0.0591545 0.037525 3.51018 2.40719 3.49943 3.40042
MM_6_eq_1D 0.9316316147538235 7 0.100889 0.0708262 0.0446576 0.0265742 2.87391 1.86953 1.42927 1.97952
MM_6_eq_1D 0.9316316147538235 8 0.0943447 0.0769549 0.0312596 0.0249651 2.83952 2.81133 1.1887 1.78556
MM_6_eq_1D 0.9316316147538235 9 0.0601309 0.0304604 0.0492729 0.0450887 1.98652 1.98456 1.95725 1.11071
MM_6_eq_1D 0.9316316147538235 10 0.0404332 0.0202317 0.0436013 0.0252213 3.06512 2.16477 3.01579 1.50792
MM_6_eq_1D 0.9316316147538235 20 0.0281831 0.0279951 0.0310828 0.0297313 2.24042 1.43679 2.20709 1.87024
MM_6_eq_1D 0.9316316147538235 30 0 0 0.250187 2.15189 0.23843 1.34085 0.258759 1.70234
MM_6_eq_1D 0.9316316147538235 40 0.249894 2.16541 0.249894 2.16541 0.249894 2.16541 0.249899 2.16545
MM_6_eq_1D 0.9316316147538235 50 0 0 0 0 0 0 0 0
MM_6_eq_1D 0.4316947267462241 1 0.00229647 2.12701e-05 0.00358323 3.10162e-05 0.011671 0.000106045 0.0113661 0.000104992
MM_6_eq_1D 0.4316947267462241 2 0.00217767 1.94642e-05 0.000988132 1.26414e-05 0.0226976 0.000215925 0.0226289 0.000219295
MM_6_eq_1D 0.4316947267462241 3 0.00238709 1.96073e-05 0.000569204 5.17825e-06 0.037216 0.000299497 0.0371701 0.000300781
MM_6_eq_1D 0.4316947267462241 4 0.00244847 2.02628e-05 0.000430808 3.93695e-06 0.0509541 0.000429055 0.0508203 0.000425446
MM_6_eq_1D 0.4316947267462241 5 0.00239916 1.88161e-05 0.00033539 3.23794e-06 0.0621697 0.000525372 0.0617146 0.000524171
MM_6_eq_1D 0.4316947267462241 6 0.00244594 2.0248e-05 0.00028317 2.7242e-06 0.0724314 0.00063714 0.072336 0.000636312
MM_6_eq_1D 0.4316947267462241 7 0.00243007 2.08464e-05 0.000239608 2.25416e-06 0.0848317 0.000761654 0.0836505 0.000737034
MM_6_eq_1D 0.4316947267462241 8 0.00241228 2.02226e-05 0.000210064 1.98399e-06 0.0961705 0.000886644 0.0957255 0.000887782
MM_6_eq_1D 0.4316947267462241 9 0.00246477 1.99555e-05 0.000187414 1.77376e-06 0.108445 0.00105671 0.108363 0.00104125
MM_6_eq_1D 0.4316947267462241 10 0.0024142 1.97369e-05 0.000166631 1.56703e-06 0.115787 0.00124769 0.11613 0.00122837
MM_6_eq_1D 0.4316947267462241 20 0.00244516 2.05747e-05 8.5409e-05 8.17196e-07 0.208264 0.00265346 0.207212 0.00254127
MM_6_eq_1D 0.4316947267462241 30 0.00240043 1.98842e-05 5.96706e-05 5.68523e-07 0.27327 0.00450843 0.275522 0.00456492
MM_6_eq_1D 0.4316947267462241 40 0.00243328 2.03251e-05 4.87756e-05 4.30024e-07 0.316956 0.00690466 0.314517 0.00647618
MM_6_eq_1D 0.4316947267462241 50 0.0024115 1.92428e-05 0.00400718 0.00473911 0.337165 0.0080556 0.347885 0.00768977
MM_6_eq_1D 0.017454178683585186 1 0.00171547 1.30629e-05 0.00252576 2.15561e-05 0.00859818 6.99425e-05 0.00860364 6.99375e-05
