detector nhit eta pt phi_res phi_resE theta_res theta_resE pt_res pt_resE p_res p_resE
MM_i2o3_2D 1 0.9316316147538235 1 0.00220291 1.86615e-05 0.00172701 1.45437e-05 0.00901688 7.79834e-05 0.008801 7.674e-05
MM_i2o3_2D 1 0.9316316147538235 2 0.00117904 9.67669e-06 0.000834724 6.72077e-06 0.00991212 8.08426e-05 0.00986963 8.01699e-05
MM_i2o3_2D 1 0.9316316147538235 3 0.000860236 6.98408e-06 0.000541644 4.60568e-06 0.0110901 9.01727e-05 0.0110371 8.91076e-05
MM_i2o3_2D 1 0.9316316147538235 4 0.000708706 5.5211e-06 0.000396165 3.37637e-06 0.0124368 0.000102507 0.0124248 0.000101379
MM_i2o3_2D 1 0.9316316147538235 5 0.000620339 5.0913e-06 0.00030749 2.59672e-06 0.0136891 0.000111092 0.013693 0.000111462
MM_i2o3_2D 1 0.9316316147538235 6 0.000572791 4.51921e-06 0.000248586 2.14209e-06 0.0152248 0.000124041 0.0152203 0.000124478
MM_i2o3_2D 1 0.9316316147538235 7 0.000542486 4.23934e-06 0.00020959 1.82791e-06 0.0168603 0.000138886 0.0168605 0.00013986
MM_i2o3_2D 1 0.9316316147538235 8 0.000514421 3.9827e-06 0.000175925 1.50313e-06 0.0185348 0.000145871 0.0185152 0.000145542
MM_i2o3_2D 1 0.9316316147538235 9 0.000498023 3.74021e-06 0.000152343 1.3034e-06 0.02037 0.000160943 0.0203155 0.000159649
MM_i2o3_2D 1 0.9316316147538235 10 0.000489031 3.88485e-06 0.000135319 1.16886e-06 0.0223281 0.000177062 0.0222913 0.000176214
MM_i2o3_2D 1 0.4316947267462241 1 0.0018738 1.52981e-05 0.00188139 1.61638e-05 0.0072623 5.95406e-05 0.00721139 5.93456e-05
MM_i2o3_2D 1 0.4316947267462241 2 0.00100559 8.15547e-06 0.000898831 7.83866e-06 0.00845154 7.17191e-05 0.00843996 7.21438e-05
MM_i2o3_2D 1 0.4316947267462241 3 0.000765028 6.06997e-06 0.00057251 4.92511e-06 0.00984321 8.03443e-05 0.00983649 7.96155e-05
MM_i2o3_2D 1 0.4316947267462241 4 0.000633698 4.99794e-06 0.00040681 3.56526e-06 0.0109305 9.16344e-05 0.0109194 9.1052e-05
MM_i2o3_2D 1 0.4316947267462241 5 0.000574595 4.55872e-06 0.000314349 2.71594e-06 0.0125361 9.52309e-05 0.0125439 9.49442e-05
MM_i2o3_2D 1 0.4316947267462241 6 0.000540962 4.14267e-06 0.000252703 2.18626e-06 0.0145012 0.000112592 0.0145052 0.000112661
MM_i2o3_2D 1 0.4316947267462241 7 0.000506622 3.82327e-06 0.000211819 1.88621e-06 0.0160797 0.000122407 0.0160676 0.000122377
MM_i2o3_2D 1 0.4316947267462241 8 0.000491389 3.70163e-06 0.000181861 1.57488e-06 0.0178911 0.000140496 0.0178786 0.000140047
MM_i2o3_2D 1 0.4316947267462241 9 0.000481006 3.68756e-06 0.000160845 1.37598e-06 0.0197859 0.000154199 0.0197592 0.000152538
MM_i2o3_2D 1 0.4316947267462241 10 0.000468666 3.61471e-06 0.000141669 1.21974e-06 0.0213955 0.000169002 0.0213978 0.000168894
MM_i2o3_2D 1 0.017454178683585186 1 0.00177108 1.42984e-05 0.00197193 1.61851e-05 0.00695682 5.83916e-05 0.00695389 5.8247e-05
MM_i2o3_2D 1 0.017454178683585186 2 0.000963164 7.43527e-06 0.00092676 7.89593e-06 0.00805844 6.80434e-05 0.00805894 6.80583e-05
MM_i2o3_2D 1 0.017454178683585186 3 0.000731724 5.7221e-06 0.000580826 4.95263e-06 0.00949093 7.38559e-05 0.00948426 7.38934e-05
MM_i2o3_2D 1 0.017454178683585186 4 0.000615641 4.91308e-06 0.000416026 3.55271e-06 0.0106658 8.46625e-05 0.0106632 8.46422e-05
MM_i2o3_2D 1 0.017454178683585186 5 0.000555428 4.29321e-06 0.000318837 2.7663e-06 0.0124481 9.89799e-05 0.012449 9.9057e-05
MM_i2o3_2D 1 0.017454178683585186 6 0.000526572 4.13968e-06 0.000255294 2.08356e-06 0.0140313 0.000112559 0.0140324 0.000112573
MM_i2o3_2D 1 0.017454178683585186 7 0.000494153 3.78532e-06 0.000218566 1.90151e-06 0.0156591 0.000122116 0.0156602 0.000122197
MM_i2o3_2D 1 0.017454178683585186 8 0.000489059 3.74273e-06 0.000184877 1.584e-06 0.017771 0.000134179 0.0177697 0.000134179
MM_i2o3_2D 1 0.017454178683585186 9 0.000477776 3.75121e-06 0.000164139 1.40125e-06 0.0195129 0.000154168 0.0195147 0.000154147
MM_i2o3_2D 1 0.017454178683585186 10 0.000470045 3.51597e-06 0.000146418 1.21017e-06 0.0214107 0.000162138 0.0214085 0.000162118
MM_i0o4_2D 1 0.9316316147538235 1 0.00211722 1.71997e-05 0.00157544 1.31637e-05 0.00697796 6.164e-05 0.0067584 5.90957e-05
MM_i0o4_2D 1 0.9316316147538235 2 0.00118052 9.68826e-06 0.000774731 6.34585e-06 0.0079343 6.65901e-05 0.00792255 6.77634e-05
MM_i0o4_2D 1 0.9316316147538235 3 0.000854541 7.05518e-06 0.000498099 4.14065e-06 0.00935601 7.69384e-05 0.00933982 7.59641e-05
MM_i0o4_2D 1 0.9316316147538235 4 0.000712935 5.67536e-06 0.00036191 3.06865e-06 0.0110885 9.2455e-05 0.0110735 9.26763e-05
MM_i0o4_2D 1 0.9316316147538235 5 0.000633074 5.08465e-06 0.000282206 2.4403e-06 0.0126212 9.93737e-05 0.0126042 9.83719e-05
MM_i0o4_2D 1 0.9316316147538235 6 0.000578953 4.68188e-06 0.000235103 2.0125e-06 0.0145436 0.00011868 0.0145148 0.000117943
MM_i0o4_2D 1 0.9316316147538235 7 0.000546284 4.24135e-06 0.000195486 1.67828e-06 0.016405 0.000131877 0.0163718 0.000131061
MM_i0o4_2D 1 0.9316316147538235 8 0.00052631 4.28425e-06 0.000168468 1.49468e-06 0.0181589 0.000142598 0.0181582 0.000142443
