detector nhit eta pt phi_res phi_resE theta_res theta_resE pt_res pt_resE p_res p_resE
MM_6_3x2_2D 1 0.9316316147538235 1 0.00181784 1.5013e-05 0.00182842 1.52458e-05 0.00891424 7.53755e-05 0.00872725 7.49798e-05
MM_6_3x2_2D 2 0.9316316147538235 1 0.00184206 1.54174e-05 0.00181016 1.48749e-05 0.00898167 7.44512e-05 0.0087411 7.28018e-05
MM_6_3x2_2D 3 0.9316316147538235 1 0.00181823 1.51649e-05 0.00183308 1.52799e-05 0.00892804 7.72472e-05 0.00877136 7.57473e-05
MM_6_3x2_2D 5 0.9316316147538235 1 0.00187303 1.57928e-05 0.00183079 1.5418e-05 0.00884065 7.64315e-05 0.00857401 7.41255e-05
MM_6_3x2_2D 1 0.9316316147538235 2 0.00102847 8.17526e-06 0.000909167 7.6217e-06 0.00998257 8.09239e-05 0.00993175 8.07124e-05
MM_6_3x2_2D 2 0.9316316147538235 2 0.001034 8.29156e-06 0.000910409 7.55186e-06 0.00968296 8.05098e-05 0.0095962 7.83369e-05
MM_6_3x2_2D 3 0.9316316147538235 2 0.00103051 8.47449e-06 0.000895813 7.21895e-06 0.00980414 8.14415e-05 0.00973556 8.0819e-05
MM_6_3x2_2D 5 0.9316316147538235 2 0.00103456 8.46723e-06 0.00089742 7.442e-06 0.00976323 8.03437e-05 0.00971534 7.9827e-05
MM_6_3x2_2D 1 0.9316316147538235 3 0.000801522 6.4271e-06 0.000577703 5.02995e-06 0.0111861 8.98536e-05 0.0111463 8.95587e-05
MM_6_3x2_2D 2 0.9316316147538235 3 0.000779594 5.91228e-06 0.000585718 5.00004e-06 0.0110537 8.85609e-05 0.0110605 8.91618e-05
MM_6_3x2_2D 3 0.9316316147538235 3 0.000778339 5.99916e-06 0.00057283 4.93467e-06 0.0109154 8.90482e-05 0.0108517 8.93408e-05
MM_6_3x2_2D 5 0.9316316147538235 3 0.000784201 6.26779e-06 0.000588775 4.88581e-06 0.0110661 9.20077e-05 0.0110166 9.20755e-05
MM_6_3x2_2D 1 0.9316316147538235 4 0.000684458 5.24906e-06 0.00042605 3.50746e-06 0.0122209 9.1617e-05 0.0122126 9.1697e-05
MM_6_3x2_2D 2 0.9316316147538235 4 0.000673296 5.24964e-06 0.000434008 3.691e-06 0.012526 9.58648e-05 0.0125225 9.68296e-05
MM_6_3x2_2D 3 0.9316316147538235 4 0.000685312 5.34166e-06 0.000430568 3.55957e-06 0.0125545 0.000100562 0.0124982 9.8605e-05
MM_6_3x2_2D 5 0.9316316147538235 4 0.000687069 5.38146e-06 0.000428478 3.71709e-06 0.0126658 0.000100901 0.0126449 0.000101055
MM_6_3x2_2D 1 0.9316316147538235 5 0.000606374 4.66542e-06 0.00033761 2.89663e-06 0.0138742 0.000110187 0.0138216 0.00010744
MM_6_3x2_2D 2 0.9316316147538235 5 0.000621845 4.81369e-06 0.000336928 2.88271e-06 0.0139272 0.00010968 0.0139165 0.000109421
MM_6_3x2_2D 3 0.9316316147538235 5 0.000613647 4.78357e-06 0.00033682 2.89752e-06 0.0139029 0.000112035 0.0139088 0.000112507
MM_6_3x2_2D 5 0.9316316147538235 5 0.000612903 4.75836e-06 0.000334218 2.82442e-06 0.0138378 0.000110061 0.0138225 0.00010949
MM_6_3x2_2D 1 0.9316316147538235 6 0.000580805 4.40223e-06 0.000267725 2.25043e-06 0.0156124 0.000121014 0.0156486 0.000122176
MM_6_3x2_2D 2 0.9316316147538235 6 0.000569074 4.33412e-06 0.000269342 2.348e-06 0.0153853 0.000123496 0.0154153 0.000123536
MM_6_3x2_2D 3 0.9316316147538235 6 0.000568025 4.39258e-06 0.000269873 2.25614e-06 0.0152609 0.00011745 0.0152771 0.000118414
MM_6_3x2_2D 5 0.9316316147538235 6 0.000569253 4.4609e-06 0.000272304 2.34604e-06 0.0153554 0.000120309 0.0154386 0.000123527
MM_6_3x2_2D 1 0.9316316147538235 7 0.000541701 4.22886e-06 0.000223976 1.9704e-06 0.0168549 0.000133956 0.0168383 0.000133882
MM_6_3x2_2D 2 0.9316316147538235 7 0.000540208 4.21742e-06 0.000227255 1.94103e-06 0.0167645 0.000133491 0.0167729 0.000132498
MM_6_3x2_2D 3 0.9316316147538235 7 0.000541118 4.07063e-06 0.000220764 1.85683e-06 0.0170762 0.000134364 0.0170439 0.000133955
